year,state_abbr,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
2014,MO,Missouri,6063827,26882,404,5592,18483,176436,35293,124769,16374
2015,MO,Missouri,6076204,30292,503,6383,20833,173788,34029,122749,17010
2016,MO,Missouri,6091176,31720,538,6576,22049,170661,31716,120649,18296
2017,MO,Missouri,6108612,32450,599,6362,22752,173380,30086,123356,19938
2018,MO,Missouri,6121623,30696,599,5206,21956,162698,27345,115506,19847
2019,MO,Missouri,6140475,30680,576,4995,22090,163223,26617,115324,21282
2020,MO,Missouri,6151548,33385,723,4575,25426,155698,23300,108209,24189
2010,MT,Montana,990958,2733,25,154,2222,25409,3692,20166,1551
2011,MT,Montana,997667,2755,29,171,2189,23885,3347,19089,1449
2012,MT,Montana,1005494,2803,29,202,2180,26102,3920,20484,1698
2013,MT,Montana,1014864,2924,23,217,2217,26195,4122,20192,1881
2014,MT,Montana,1023252,3361,38,202,2563,25525,3639,19826,2060
2015,MT,Montana,1032073,3647,38,210,2827,27276,3887,20966,2423
2016,MT,Montana,1038656,3886,37,268,2983,28156,3966,21427,2763
2017,MT,Montana,1053090,3937,41,234,3023,27294,3623,21073,2598
2018,MT,Montana,1060665,4040,37,270,3164,26787,3329,20641,2817
2019,MT,Montana,1070123,4472,32,209,3552,23929,2968,18547,2414
2020,MT,Montana,1080577,5077,54,279,4146,22917,2919,17322,2676
2010,NE,Nebraska,1830141,5093,54,1020,3345,48827,8318,36896,3613
2011,NE,Nebraska,1842234,4672,68,993,2912,50894,8725,38060,4109
2012,NE,Nebraska,1855350,4802,52,1128,2912,51203,8745,38301,4157
2013,NE,Nebraska,1868969,4949,56,1035,3011,49197,8945,35791,4461
2014,NE,Nebraska,1882980,5201,53,1044,3226,47526,7936,35063,4527
2015,NE,Nebraska,1893765,5167,62,994,3226,42597,6443,32148,4006
2016,NE,Nebraska,1907603,5661,49,946,3558,43197,6459,32009,4729
2017,NE,Nebraska,1917575,5979,42,1020,3726,43856,6513,32064,5279
2018,NE,Nebraska,1925614,5583,44,736,3513,40193,5308,29987,4898
2019,NE,Nebraska,1932571,5887,45,795,3763,39553,4763,29817,4973
2020,NE,Nebraska,1937552,6473,69,799,4442,36991,4455,27488,5048
2010,NV,Nevada,2704283,17929,158,5298,11508,75004,22286,42533,10185
2011,NV,Nevada,2720028,15452,139,4308,10092,70075,20342,40156,9577
2012,NV,Nevada,2754354,16763,124,4918,10790,77510,22120,45372,10018
2013,NV,Nevada,2791494,16888,163,5183,10060,79177,23047,46132,9998
2014,NV,Nevada,2838281,18043,170,5954,10562,74574,21924,42466,10184
2015,NV,Nevada,2883758,20118,178,6287,11965,77137,22360,43426,11351
2016,NV,Nevada,2939254,19924,228,6338,11629,75922,18816,43949,13157
2017,NV,Nevada,2972405,16663,266,4841,9660,78320,20049,45459,12812
2018,NV,Nevada,3027341,16715,202,3862,10322,73998,17741,44341,11916
2019,NV,Nevada,3090771,15334,144,3289,9746,72028,15630,45127,11271
2020,NV,Nevada,3138259,14445,180,2785,9629,60462,11574,38332,10556
2010,NH,New Hampshire,1316807,2204,13,450,1330,29230,5444,22789,997
2011,NH,New Hampshire,1317807,2864,16,509,1758,32756,6244,25398,1114
2012,NH,New Hampshire,1321617,2841,15,471,1869,32074,5988,25024,1062
2013,NH,New Hampshire,1322616,2952,21,645,1708,30409,5283,24188,938
2014,NH,New Hampshire,1327996,2625,16,544,1469,26098,4191,21051,856
2015,NH,New Hampshire,1330111,2692,15,475,1558,23453,3482,19076,895
2016,NH,New Hampshire,1335015,2668,19,431,1609,20323,2989,16454,880
2017,NH,New Hampshire,1349767,2642,13,441,1569,18550,2554,15087,909
2018,NH,New Hampshire,1353465,2404,21,342,1463,17201,1908,14396,897
2019,NH,New Hampshire,1360783,2152,33,327,1186,16552,1783,13826,943
2020,NH,New Hampshire,1366275,2000,12,280,1166,15014,1412,12558,1044
2010,NJ,New Jersey,8799593,27055,371,11818,13885,183042,38732,128754,15556
2011,NJ,New Jersey,8834773,27203,380,12209,13608,189719,43238,129066,17415
2012,NJ,New Jersey,8867749,25727,388,11385,12919,181481,42338,122662,16481
2013,NJ,New Jersey,8911502,25748,404,12084,12071,167634,35883,118005,13746
2014,NJ,New Jersey,8938844,23319,352,10499,11188,154945,31707,111534,11704
2015,NJ,New Jersey,8935421,22879,363,9729,11414,145701,27960,105963,11778
2016,NJ,New Jersey,8978416,21861,378,8940,11089,138012,25229,101459,11324
2017,NJ,New Jersey,8888543,20604,324,7895,10880,140086,23891,104025,12170
2018,NJ,New Jersey,8886025,18536,285,6364,10463,125155,19232,94886,11037
2019,NJ,New Jersey,8891258,18382,263,5730,10852,118637,16399,91902,10336
2020,NJ,New Jersey,8882371,17353,329,4384,11363,102875,12983,79614,10278
2010,NM,New Mexico,2065913,12147,140,1616,9432,70776,21023,44503,5250
2011,NM,New Mexico,2078674,11904,158,1720,9170,73549,21419,46730,5400
2012,NM,New Mexico,2083540,11660,116,1847,8740,75094,21384,48247,5463
2013,NM,New Mexico,2086895,12990,123,1832,9470,78958,21828,51146,5984
2014,NM,New Mexico,2085567,12465,101,2086,8797,73877,18505,49082,6290
2015,NM,New Mexico,2080328,13672,117,2485,9407,77212,17084,51485,8643
2016,NM,New Mexico,2085432,14585,139,2737,10182,81930,17280,52907,11743
2017,NM,New Mexico,2093395,16300,144,3732,11180,81865,17872,52284,11709
2018,NM,New Mexico,2092741,17637,153,2646,13536,70722,16102,44592,10028
2019,NM,New Mexico,2099634,17302,185,2477,13285,66744,14640,42749,9355
2020,NM,New Mexico,2106319,16393,164,2086,12973,59859,13665,37188,9006
2010,NY,New York,19395206,76492,868,28630,44197,379710,65839,293232,20639
2011,NY,New York,19501616,77463,769,28405,45538,371837,65227,287361,19249
2012,NY,New York,19576125,79535,683,28633,47382,375268,64389,293562,17317
2013,NY,New York,19695680,77563,644,27241,46130,358603,56444,286676,15483
2014,NY,New York,19748858,75972,616,24036,45295,339113,50738,272624,15751
2015,NY,New York,19747183,75126,613,23879,44493,317225,44117,257837,15271
2016,NY,New York,19836286,74315,629,22310,45095,305224,39850,250990,14384
2017,NY,New York,19590719,70746,550,20122,43777,293390,34928,245093,13369
2018,NY,New York,19530351,68512,562,18191,43182,281543,31158,237243,13142
2019,NY,New York,19463131,70260,565,18165,44888,269787,28065,228672,13050
2020,NY,New York,19336776,70339,808,17525,46538,272788,32003,221129,19656
2010,NC,North Carolina,9560234,34679,474,9620,22583,329202,102826,208057,18319
2011,NC,North Carolina,9651103,33421,498,9448,21516,337806,105534,215453,16819
2012,NC,North Carolina,9748364,34464,479,9392,22609,328594,99323,213151,16120
2013,NC,North Carolina,9848917,33587,463,9275,21325,305631,90182,201043,14406
2014,NC,North Carolina,9940387,32718,498,8411,21377,285498,79266,192609,13623
2015,NC,North Carolina,10035186,34734,517,8821,22805,275915,74760,187732,13423
2016,NC,North Carolina,10156689,37767,678,9336,24906,277765,72082,190377,15306
2017,NC,North Carolina,10270800,38043,622,9884,25593,265483,65247,184119,16117
2018,NC,North Carolina,10381615,36980,574,7573,26200,243323,57450,169376,16497
2019,NC,North Carolina,10501384,39773,653,7700,28056,251135,54033,178332,18770
2020,NC,North Carolina,10600823,44451,852,7340,33337,236026,49952,165554,20520
2010,ND,North Dakota,674629,1548,10,90,1203,12010,2000,9137,873
2011,ND,North Dakota,684740,1699,24,91,1318,13334,2458,9891,985
2012,ND,North Dakota,701345,1723,25,127,1292,14297,2429,10687,1181
2013,ND,North Dakota,723857,1979,16,161,1447,15356,2979,10942,1435
2014,ND,North Dakota,740040,2001,23,175,1421,15857,2751,11559,1547
2015,ND,North Dakota,756835,1949,21,159,1378,17716,3296,12686,1734
2016,ND,North Dakota,755548,1905,16,181,1352,17451,3248,12249,1954
2017,ND,North Dakota,755176,2133,10,183,1534,16653,2947,11944,1762
2018,ND,North Dakota,758080,2154,18,158,1569,15621,2742,11088,1791
2019,ND,North Dakota,763724,2302,25,184,1629,15270,2646,10785,1839
2020,ND,North Dakota,765309,2518,32,151,1939,16256,3196,10986,2074
2010,OH,Ohio,11537968,36306,479,16486,15611,376836,107125,248581,21130
2011,OH,Ohio,11541007,35218,500,15991,15048,380572,112901,246744,20927
2012,OH,Ohio,11553031,34827,478,15396,15140,370435,105312,245372,19751
2013,OH,Ohio,11572005,33722,478,14483,14370,338414,91090,227799,19525
2014,OH,Ohio,11596998,33130,464,12780,14658,322517,79466,224942,18109
2015,OH,Ohio,11605090,34373,522,12617,15793,303743,69994,216354,17395
2016,OH,Ohio,11622554,35759,683,12574,16748,300945,67081,214102,19762
2017,OH,Ohio,11664129,34621,741,11224,16823,280557,57521,202320,20716
2018,OH,Ohio,11676341,34426,596,9608,18370,257848,49456,188433,19959
2019,OH,Ohio,11696507,34618,584,8861,19323,240540,44232,177610,18698
2020,OH,Ohio,11693217,36104,820,7826,22406,216363,37279,159007,20077
2010,OK,Oklahoma,3760184,18100,195,3345,13091,129464,37848,81303,10313
2011,OK,Oklahoma,3784163,17311,212,3288,12401,127618,36462,80064,11092
2012,OK,Oklahoma,3815780,18102,220,3248,13012,130969,36094,83131,11744
2013,OK,Oklahoma,3853118,17187,198,3023,11652,126418,33512,81624,11282
2014,OK,Oklahoma,3879610,16052,180,3073,10937,117445,29963,76719,10763
2015,OK,Oklahoma,3907414,16746,240,3018,11535,114055,28783,74678,10594
2016,OK,Oklahoma,3921207,17855,247,3174,12334,118010,29376,76358,12276
2017,OK,Oklahoma,3932640,17989,243,3007,12519,113611,28749,72546,12316
2018,OK,Oklahoma,3940235,18701,215,2805,13250,114395,27178,73799,13418
2019,OK,Oklahoma,3960676,17279,275,2383,12258,113504,26820,73199,13485
2020,OK,Oklahoma,3980783,18255,296,2351,13506,107705,24415,68243,15047
2010,OR,Oregon,3838332,9648,96,2421,5892,116657,20035,87494,9128
2011,OR,Oregon,3868229,9643,84,2237,6083,121869,20704,92059,9106
2012,OR,Oregon,3899801,9638,91,2419,5969,126417,22051,94114,10252
2013,OR,Oregon,3928068,9536,82,2394,5596,125083,20808,94363,9912
2014,OR,Oregon,3971202,10294,84,2270,6320,123142,18690,94177,10275
2015,OR,Oregon,4024634,10680,110,2163,6757,119752,18541,90514,10697
2016,OR,Oregon,4085989,10983,116,2307,6776,121716,16919,91507,13290
2017,OR,Oregon,4146592,11629,105,2474,7058,122524,17415,88091,17018
2018,OR,Oregon,4181886,12146,86,2515,7431,122401,16515,89191,16695
2019,OR,Oregon,4216116,12382,117,2329,8050,117567,15127,86922,15518
2020,OR,Oregon,4241507,12380,125,2180,8510,112782,14386,81811,16585
2010,PA,Pennsylvania,12717722,46612,653,16375,26112,276366,55206,204440,16720
2011,PA,Pennsylvania,12743948,46189,639,16165,26046,283442,57966,208604,16872
2012,PA,Pennsylvania,12764475,45384,707,15735,25571,276562,57040,204409,15113
2013,PA,Pennsylvania,12781296,42825,611,14739,23680,263176,52000,197410,13766
2014,PA,Pennsylvania,12793767,40298,610,13545,22304,246982,45718,188211,13053
2015,PA,Pennsylvania,12791904,40348,665,12965,22419,231941,39573,180236,12132
2016,PA,Pennsylvania,12787085,40389,674,12314,22942,222394,35178,174147,13069
2017,PA,Pennsylvania,12790447,40030,742,11777,23295,210316,31925,165434,12957
2018,PA,Pennsylvania,12800922,39099,784,9854,23971,190633,27054,150441,13138
2019,PA,Pennsylvania,12798883,39160,676,9749,24390,179670,23324,143937,12409
2020,PA,Pennsylvania,12783254,49793,1009,10728,33828,210167,31774,162919,15474
2010,RI,Rhode Island,1052528,2709,29,782,1600,26959,6124,18432,2403
2011,RI,Rhode Island,1050646,2586,20,744,1503,27976,6836,18765,2375
2012,RI,Rhode Island,1050304,2657,26,715,1614,27039,5929,18478,2632
2013,RI,Rhode Island,1053354,2710,31,683,1547,25741,5621,17881,2239
2014,RI,Rhode Island,1054907,2320,26,530,1398,22982,4830,16317,1835
2015,RI,Rhode Island,1055607,2565,31,547,1520,20038,3938,14714,1386
2016,RI,Rhode Island,1057566,2529,29,541,1514,18910,3650,14157,1103
2017,RI,Rhode Island,1056486,2474,21,474,1525,18585,3219,13882,1484
2018,RI,Rhode Island,1058287,2326,16,453,1363,17625,2817,13270,1538
2019,RI,Rhode Island,1058158,2357,26,421,1412,16312,2321,12628,1363
2020,RI,Rhode Island,1057125,2440,32,336,1665,13166,1763,9894,1509
2010,SC,South Carolina,4637106,27923,265,5017,21090,181098,46261,121544,13293
2011,SC,South Carolina,4673348,27894,320,4631,21265,183243,47351,122255,13637
2012,SC,South Carolina,4723417,26474,332,4511,19919,181049,45222,122340,13487
2013,SC,South Carolina,4771929,24263,305,3965,17760,173261,40930,119730,12601
2014,SC,South Carolina,4829160,24038,322,4018,17513,168281,37163,118173,12945
2015,SC,South Carolina,4894834,24448,407,3950,17652,162830,34942,114778,13110
2016,SC,South Carolina,4959822,25137,358,4071,18217,161534,33149,114455,13930
2017,SC,South Carolina,5021219,25412,380,3884,18572,160368,31165,114931,14272
2018,SC,South Carolina,5084156,25463,411,3592,18810,156330,29957,111427,14946
2019,SC,South Carolina,5157702,26307,455,3325,19999,151970,27439,109366,15165
2020,SC,South Carolina,5218040,27691,549,3122,21934,141987,23377,103892,14718
2010,SD,South Dakota,816598,2196,23,154,1634,15188,3192,11196,800
2011,SD,South Dakota,823593,2105,20,167,1415,15299,2927,11423,949
2012,SD,South Dakota,834047,2701,23,157,1921,17326,3280,12973,1073
2013,SD,South Dakota,845510,2733,18,156,2052,16274,3383,11955,936
2014,SD,South Dakota,853304,2801,23,199,2101,16036,2817,12209,1010
2015,SD,South Dakota,857919,3302,33,215,2554,16739,2969,12576,1194
2016,SD,South Dakota,861542,3636,28,274,2808,17207,3002,12705,1500
2017,SD,South Dakota,873286,3753,27,264,2887,16588,2835,12285,1468
2018,SD,South Dakota,878698,3483,12,222,2632,15191,2502,11237,1452
2019,SD,South Dakota,887127,3523,16,190,2670,15686,2662,11265,1759
2020,SD,South Dakota,892717,4476,40,274,3563,17468,3036,12117,2315
2010,TN,Tennessee,6357436,38909,359,8361,28016,232855,64293,153729,14833
2011,TN,Tennessee,6399787,38895,380,8082,28338,230900,62830,153928,14142
2012,TN,Tennessee,6454914,41213,400,8151,30615,217925,56231,148731,12963
2013,TN,Tennessee,6497269,38063,335,7333,27895,207683,51334,144443,11906
2014,TN,Tennessee,6547779,39989,369,7268,29757,200911,46798,141464,12649
2015,TN,Tennessee,6595056,40816,418,7499,30098,196047,43753,139259,13035
2016,TN,Tennessee,6649404,42459,495,7829,31332,191199,40607,135353,15239
2017,TN,Tennessee,6708794,43940,538,7867,32507,198028,38819,140636,18573
2018,TN,Tennessee,6771631,42687,508,7222,31946,192897,33538,138710,20649
2019,TN,Tennessee,6830325,40908,515,6164,31286,181801,29969,132540,19292
2020,TN,Tennessee,6886834,46328,663,5575,37412,171675,26479,124098,21098
2010,TX,Texas,25253466,113231,1249,32843,71517,951246,228597,654626,68023
2011,TX,Texas,25631778,104734,1130,28620,67498,892810,215755,613131,63924
2012,TX,Texas,26060796,106475,1148,30385,67227,876459,205002,606425,65032
2013,TX,Texas,26505637,108757,1140,31810,65351,862289,191062,605440,65787
2014,TX,Texas,26979078,109711,1192,31021,65862,813515,168085,577018,68412
2015,TX,Texas,27429639,113193,1317,31924,67629,779234,153067,558653,67514
2016,TX,Texas,27904862,121064,1478,33298,72842,769892,148796,552106,68990
2017,TX,Texas,28322717,123984,1405,32120,75923,723143,133458,521767,67918
2018,TX,Texas,28628666,118197,1327,28339,73433,681143,117897,493238,70008
2019,TX,Texas,28986794,122263,1432,29126,76402,697305,114494,504461,78350
2020,TX,Texas,29360759,131084,1931,26834,88810,659160,108851,466033,84276
2010,UT,Utah,2775479,5925,53,1269,3620,88316,15095,67242,5979
2011,UT,Utah,2814347,5547,50,1079,3517,84084,13170,64727,6187
2012,UT,Utah,2854871,5939,52,1105,3807,86284,13095,67157,6032
2013,UT,Utah,2902787,6644,51,1247,3824,88334,13727,67115,7492
2014,UT,Utah,2944498,6464,66,1313,3538,85473,11656,66487,7330
2015,UT,Utah,2990632,7138,57,1329,4048,89797,12606,68464,8727
2016,UT,Utah,3044321,7406,74,1528,4244,90561,12938,68261,9362
2017,UT,Utah,3103118,7515,74,1498,4185,86201,11780,64955,9466
2018,UT,Utah,3153550,7551,63,1237,4397,76294,10079,58406,7809
2019,UT,Utah,3203383,7588,77,1130,4516,69469,8658,54078,6733
2020,UT,Utah,3249879,8471,102,1362,5198,80091,9444,60359,10288
2010,VT,Vermont,625909,820,7,76,596,14160,3348,10373,439
2011,VT,Vermont,626592,925,11,99,669,15086,3838,10720,528
2012,VT,Vermont,625953,891,8,114,638,15653,4179,11014,460
2013,VT,Vermont,626855,775,10,75,554,13882,3352,10193,337
2014,VT,Vermont,626767,643,10,72,444,9721,2092,7375,254
2015,VT,Vermont,626088,747,10,105,482,9064,2034,6834,196
2016,VT,Vermont,623354,851,14,78,589,9705,1884,7637,184
2017,VT,Vermont,624525,1082,17,100,711,9339,1945,7169,225
2018,VT,Vermont,624358,1155,11,73,745,8211,1496,6451,264
2019,VT,Vermont,624046,1293,11,71,913,8968,1286,7378,304
2020,VT,Vermont,623347,1081,14,64,790,7586,961,6361,264
2010,VA,Virginia,8023953,17184,376,5678,9550,187403,30804,145990,10609
2011,VA,Virginia,8104384,16014,304,5425,8694,182902,30656,142476,9770
2012,VA,Virginia,8186628,15676,322,4718,9131,178434,29651,139654,9129
2013,VA,Virginia,8270345,16355,320,4574,9111,171558,26717,136215,8626
2014,VA,Virginia,8328098,16522,350,4294,9462,161934,23210,131001,7723
2015,VA,Virginia,8367587,16705,390,4459,9357,157803,21542,128064,8197
2016,VA,Virginia,8414380,18495,482,4826,10357,157292,20159,127285,9848
2017,VA,Virginia,8465207,17811,470,4331,9984,152515,18524,123812,10179
2018,VA,Virginia,8501286,17357,417,3610,10258,142931,15659,116496,10776
2019,VA,Virginia,8556642,17916,447,3520,11034,140944,13972,116656,10316
2020,VA,Virginia,8590563,17925,524,2947,12175,125114,11465,102796,10853
2010,WA,Washington,6742950,21138,154,5929,12476,249426,55192,168490,25744
2011,WA,Washington,6823267,20152,163,5627,12042,244209,56561,162828,24820
2012,WA,Washington,6895318,20553,217,5801,12285,254377,61376,166338,26663
2013,WA,Washington,6973742,20223,167,5829,11623,259139,58487,172227,28425
2014,WA,Washington,7063166,20185,178,5641,11586,261257,55381,175317,30559
2015,WA,Washington,7160290,20505,218,5450,12059,249474,51114,171393,26967
2016,WA,Washington,7280934,22101,195,5649,13124,254994,49249,173423,32322
2017,WA,Washington,7425432,22483,226,5386,13571,235206,43687,162154,29365
2018,WA,Washington,7523869,23719,236,5557,14316,223256,40434,154941,27881
2019,WA,Washington,7614024,23095,205,5356,14037,207539,34976,147778,24785
2020,WA,Washington,7693612,22596,301,5183,14435,210223,40167,142657,27399
2010,WV,West Virginia,1854368,5586,58,776,4390,41301,10778,28104,2419
2011,WV,West Virginia,1854908,5497,87,802,4236,39009,10245,26656,2108
2012,WV,West Virginia,1856680,5943,70,835,4623,44500,11466,30800,2234
2013,WV,West Virginia,1853595,5657,62,653,4242,39929,9908,28055,1966
2014,WV,West Virginia,1848751,5850,84,655,4517,38282,9368,26954,1960
2015,WV,West Virginia,1841053,6397,85,783,4819,38694,9467,26984,2243
2016,WV,West Virginia,1828637,6633,85,720,5144,37282,9127,25657,2498
2017,WV,West Virginia,1817048,6564,98,673,5000,32560,7557,21917,3086
2018,WV,West Virginia,1804291,5411,76,333,4286,27888,5916,19783,2189
2019,WV,West Virginia,1795263,5725,100,347,4460,27327,5282,19825,2220
2020,WV,West Virginia,1784787,6352,117,369,5034,24976,4877,17828,2271
2010,WI,Wisconsin,5691659,14167,155,4516,8305,142781,26636,107993,8152
2011,WI,Wisconsin,5709843,14268,138,4600,8340,139912,27167,104472,8273
2012,WI,Wisconsin,5724554,16254,169,4692,10165,140780,27931,104619,8230
2013,WI,Wisconsin,5742953,16118,163,4834,9285,125694,24358,93946,7390
2014,WI,Wisconsin,5759432,16763,159,5101,9826,120535,21375,89255,9905
2015,WI,Wisconsin,5767891,17549,240,5234,10270,114171,19602,83572,10997
2016,WI,Wisconsin,5772917,17716,232,4707,10772,111911,19498,82455,9958
2017,WI,Wisconsin,5792051,18638,192,4370,11899,104908,17570,77868,9470
2018,WI,Wisconsin,5807406,17365,175,3493,11364,91238,14180,68380,8678
2019,WI,Wisconsin,5824581,17305,189,2994,11764,85796,12572,65687,7537
2020,WI,Wisconsin,5832655,18861,308,3081,13452,86654,12744,64517,9393
2010,WY,Wyoming,564554,1117,8,77,870,13869,2151,11126,592
2011,WY,Wyoming,567356,1245,18,71,1010,12878,1864,10493,521
2012,WY,Wyoming,576626,1161,14,61,932,13222,2125,10513,584
2013,WY,Wyoming,583223,1212,17,74,917,12809,1956,10275,578
2014,WY,Wyoming,584304,1142,16,53,899,11477,1689,9185,603
2015,WY,Wyoming,586555,1300,16,59,1054,11151,1762,8797,592
2016,WY,Wyoming,584910,1431,20,59,1146,11460,1771,8889,800
2017,WY,Wyoming,578934,1358,14,98,993,10528,1556,8211,761
2018,WY,Wyoming,577601,1235,14,75,885,10308,1551,7974,783
2019,WY,Wyoming,580116,1247,13,67,844,9097,1394,6981,722
2020,WY,Wyoming,582328,1364,18,66,947,9379,1225,7190,964
